
X1: 105, Y1: 154, X2: 575, Y2: 480
X1: 104, Y1: 154, X2: 578, Y2: 480
X1: 103, Y1: 158, X2: 574, Y2: 480
X1: 107, Y1: 156, X2: 571, Y2: 480
X1: 107, Y1: 157, X2: 571, Y2: 480
X1: 107, Y1: 157, X2: 570, Y2: 480
X1: 113, Y1: 160, X2: 568, Y2: 480
X1: 112, Y1: 163, X2: 574, Y2: 479
X1: 98, Y1: 160, X2: 578, Y2: 480
X1: 86, Y1: 161, X2: 575, Y2: 478
X1: 87, Y1: 160, X2: 577, Y2: 479
X1: 86, Y1: 155, X2: 577, Y2: 480
X1: 84, Y1: 154, X2: 573, Y2: 480
X1: 90, Y1: 154, X2: 572, Y2: 480
X1: 86, Y1: 154, X2: 577, Y2: 479
X1: 88, Y1: 154, X2: 572, Y2: 480
X1: 92, Y1: 156, X2: 572, Y2: 480
X1: 95, Y1: 159, X2: 573, Y2: 478
X1: 85, Y1: 155, X2: 583, Y2: 480
X1: 94, Y1: 161, X2: 570, Y2: 480
X1: 91, Y1: 157, X2: 576, Y2: 479
X1: 92, Y1: 156, X2: 576, Y2: 480
X1: 93, Y1: 160, X2: 574, Y2: 479
X1: 87, Y1: 156, X2: 574, Y2: 480
X1: 91, Y1: 160, X2: 569, Y2: 479
X1: 91, Y1: 157, X2: 576, Y2: 480
X1: 95, Y1: 160, X2: 571, Y2: 480
X1: 93, Y1: 159, X2: 570, Y2: 479
X1: 94, Y1: 161, X2: 568, Y2: 479
X1: 91, Y1: 157, X2: 573, Y2: 480
X1: 93, Y1: 160, X2: 569, Y2: 479
X1: 89, Y1: 158, X2: 573, Y2: 480
X1: 94, Y1: 160, X2: 573, Y2: 479
X1: 92, Y1: 160, X2: 574, Y2: 479
X1: 90, Y1: 157, X2: 574, Y2: 480
X1: 90, Y1: 158, X2: 577, Y2: 480
X1: 92, Y1: 157, X2: 574, Y2: 479
X1: 89, Y1: 158, X2: 569, Y2: 480
X1: 83, Y1: 158, X2: 574, Y2: 480
